Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,Depression,Alabama,39,21.3,0.84,22.5,20.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Alaska,5,15.6,-1.15,17.1,14,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Arizona,23,18.7,-0.07,19.8,17.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Arkansas,41,21.5,0.91,23.3,19.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,California,2,13.3,-1.95,14.2,12.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Colorado,12,17,-0.66,17.9,16.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Connecticut,18,18.3,-0.21,19.5,17.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Delaware,18,18.3,-0.21,20,16.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Florida,9,16.2,-0.94,17.2,15.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Georgia,18,18.3,-0.21,19.7,17,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Hawaii,1,10.7,-2,11.7,9.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Idaho,27,19.5,0.21,21,18,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Illinois,11,16.7,-0.77,18.1,15.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Indiana,34,20.7,0.63,21.7,19.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Iowa,23,18.7,-0.07,19.9,17.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Kansas,21,18.6,-0.1,19.4,17.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Kentucky,49,23.9,1.74,25.3,22.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Louisiana,21,18.6,-0.1,19.8,17.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Maine,48,23.7,1.67,24.9,22.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Maryland,7,15.9,-1.05,17,14.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Massachusetts,42,21.6,0.94,22.7,20.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Michigan,32,20.5,0.56,21.6,19.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Minnesota,17,18.2,-0.24,18.9,17.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Mississippi,30,19.9,0.35,21.7,18.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Missouri,44,21.7,0.98,23.2,20.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Montana,31,20.4,0.52,21.8,19.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Nebraska,16,17.7,-0.42,18.5,16.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Nevada,5,15.6,-1.15,17.4,13.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,New Hampshire,37,21,0.73,22.6,19.5,"CDC, Behavioral Risk Factor Surveillance System",2014
